#   nx       ny       nz     intrinsic 0+                               
    0.00    2.00    2.00     -55.00     -65.00
    0.00    2.00    2.50     -55.00     -65.00
    0.00    2.00    3.00     -55.00     -65.00
    0.00    2.00    3.50     -55.00     -65.00
    0.00    2.00    4.00     -55.00     -65.00
    0.00    2.00    4.50     -55.00     -65.00
    0.00    2.00    5.00     -55.00     -65.00
    0.00    2.00    5.50     -55.00     -65.00
    0.00    2.00    6.00     -55.00     -65.00
    0.00    2.00    6.50     -55.00     -65.00
    0.00    2.00    7.00     -55.00     -65.00
    0.00    2.00    7.50     -55.00     -65.00
    0.00    2.00    8.00     -55.00     -65.00
    0.00    2.00    8.50     -55.00     -65.00
    0.00    2.00    9.00     -56.69     -66.64
    0.00    2.00    9.50     -58.60     -68.58
    0.00    2.00   10.00     -59.87     -69.87
    0.00    2.00   10.50     -60.72     -70.78
    0.00    2.00   11.00     -61.31     -71.45
    0.00    2.00   11.50     -61.70     -71.97
    0.00    2.00   12.00     -61.95     -72.39
    0.00    2.00   12.50     -62.10     -72.73
    0.00    2.00   13.00     -62.17     -73.02
    0.00    2.00   13.50     -62.17     -73.27
    0.00    2.00   14.00     -62.12     -73.48
    0.00    2.00   14.50     -62.04     -73.67
    0.00    2.00   15.00     -61.92     -73.83
    0.00    2.00   15.50     -61.77     -73.98
    0.00    2.00   16.00     -61.60     -74.07
    0.00    2.00   16.50     -61.41     -74.18

    0.00    2.50    2.00     -55.00     -65.00
    0.00    2.50    2.50     -55.00     -65.00
    0.00    2.50    3.00     -55.00     -65.00
    0.00    2.50    3.50     -55.00     -65.00
    0.00    2.50    4.00     -55.00     -65.00
    0.00    2.50    4.50     -55.00     -65.00
    0.00    2.50    5.00     -55.00     -65.00
    0.00    2.50    5.50     -55.00     -65.00
    0.00    2.50    6.00     -55.00     -65.00
    0.00    2.50    6.50     -55.00     -65.00
    0.00    2.50    7.00     -55.00     -66.60
    0.00    2.50    7.50     -58.20     -72.45
    0.00    2.50    8.00     -60.68     -74.98
    0.00    2.50    8.50     -62.05     -76.24
    0.00    2.50    9.00     -62.81     -76.81
    0.00    2.50    9.50     -63.24     -77.03
    0.00    2.50   10.00     -63.46     -77.04
    0.00    2.50   10.50     -63.54     -76.94
    0.00    2.50   11.00     -63.52     -76.78
    0.00    2.50   11.50     -63.44     -76.59
    0.00    2.50   12.00     -63.30     -76.39
    0.00    2.50   12.50     -63.12     -76.20
    0.00    2.50   13.00     -62.92     -76.01
    0.00    2.50   13.50     -62.70     -75.84
    0.00    2.50   14.00     -62.46     -75.68
    0.00    2.50   14.50     -62.21     -75.50
    0.00    2.50   15.00     -61.94     -74.59
